# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	2401
#@/user_id	86350857-d429-43fa-987d-7e88c3835db1
an jian 	按键	c=4 d=0.995012 t=2401
an jing 	安静	c=1 d=0.99005 t=2401
an zhao 	按照	c=1 d=1 t=1115
an zhuang 	安装	c=1 d=1 t=637
ba 	吧	c=15 d=3.80753 t=2401
ba 	把	c=8 d=0.704707 t=2401
ban 	版	c=2 d=0.244143 t=2401
ban ben 	版本	c=9 d=2.22441 t=2401
bang ding 	绑定	c=2 d=0.202909 t=2401
bang mang 	帮忙	c=1 d=1 t=1010
bao cun 	保存	c=1 d=1 t=492
bao cuo 	报错	c=4 d=1.00365 t=2178
bao gao 	报告	c=1 d=0.748264 t=2401
bao han 	包含	c=1 d=1 t=918
bao kuo 	包括	c=1 d=1 t=429
bei fen 	备份	c=1 d=1 t=2399
bei lv 	倍率	c=7 d=1.21597 t=2385
bei pi 	被劈	c=1 d=1 t=1343
bei shu 	倍数	c=1 d=1 t=1732
ben di 	本地	c=2 d=1.01925 t=1877
ben shen 	本身	c=1 d=1 t=1684
bi ji 	笔记	c=1 d=1 t=1878
bi jiao 	比较	c=1 d=1 t=980
bi xu 	必须	c=4 d=0.83527 t=2401
bian 	变	c=4 d=1.09068 t=2363
bian geng 	变更	c=4 d=1.69746 t=923
bian hua 	变化	c=4 d=1.10988 t=2390
bian li 	遍历	c=1 d=1 t=1635
bian xie 	编写	c=2 d=1.00017 t=2281
bian yi 	编译	c=7 d=2.54108 t=1032
biao 	表	c=1 d=1 t=631
biao ji 	标记	c=1 d=0.290835 t=2401
biao qing 	表情	c=2 d=0.372791 t=2401
biao shi 	表示	c=1 d=1 t=1812
bie 	别	c=1 d=1 t=900
bing 	冰	c=1 d=1 t=991
bo fang 	播放	c=1 d=1 t=1714
bu 	不	c=16 d=2.07761 t=2401
bu chong 	补充	c=1 d=1 t=1971
